Date,Clarke,Barrow,Jackson,Madison,Oconee,Oglethorpe,Walton,Banks,Elbert,Franklin,Greene,Hancock,Hart,Morgan,Putnam,Stephens,Taliaferro
03-14-2020,,,,,,,,,,,,,,,,,
03-15-2020,2,,,,,,,,,,,,,,,,
03-16-2020,3,,,,,,,,,,,,,,,,
03-17-2020,3,1,,,,,,,,,,,,,,,
03-18-2020,5,1,,,,,,,,,,,,,,,
03-19-2020,8,1,,,,,,,,,,,,,,,
03-20-2020,9,1,,,1,,,,,,,,,,,,
03-21-2020,9,1,,,1,,,,,,,,,,,,
03-22-2020,10,1,,,2,,,,,,,,,,,,
03-23-2020,14,1,,1,3,,,,,,,,,1,,,
03-24-2020,17,2,,1,5,,,,,,1,,,1,,2,
03-25-2020,21,2,1,2,6,,,,,,1,,,1,,1,
03-26-2020,24,4,1,2,7,,,,,,1,,,1,,1,
03-27-2020,,,,,,,,,,,,,,,,,
03-28-2020,,,,,,,,,,,,,,,,,
03-29-2020,,,,,,,,,,,,,,,,,
03-30-2020,,,,,,,,,,,,,,,,,
03-31-2020,,,,,,,,,,,,,,,,,
04-01-2020,,,,,,,,,,,,,,,,,
04-02-2020,,,,,,,,,,,,,,,,,
04-03-2020,,,,,,,,,,,,,,,,,
04-04-2020,,,,,,,,,,,,,,,,,
04-05-2020,,,,,,,,,,,,,,,,,
04-06-2020,,,,,,,,,,,,,,,,,
04-07-2020,,,,,,,,,,,,,,,,,
04-08-2020,,,,,,,,,,,,,,,,,
04-09-2020,,,,,,,,,,,,,,,,,
04-10-2020,,,,,,,,,,,,,,,,,
04-11-2020,,,,,,,,,,,,,,,,,
04-12-2020,,,,,,,,,,,,,,,,,
04-13-2020,,,,,,,,,,,,,,,,,
04-14-2020,,,,,,,,,,,,,,,,,
04-15-2020,,,,,,,,,,,,,,,,,
04-16-2020,,,,,,,,,,,,,,,,,
04-17-2020,,,,,,,,,,,,,,,,,
04-18-2020,,,,,,,,,,,,,,,,,
04-19-2020,,,,,,,,,,,,,,,,,
04-20-2020,,,,,,,,,,,,,,,,,
04-21-2020,,,,,,,,,,,,,,,,,
04-22-2020,,,,,,,,,,,,,,,,,
04-23-2020,,,,,,,,,,,,,,,,,
